File	F3-4.dat

t(sec)	z(m)
236	2.456472987
236.25	2.388175331
236.5	2.330071356
236.75	2.260244648
237	2.208460754
237.25	2.19745158
237.5	2.214678899
237.75	2.247706422
238	2.299490316
238.25	2.360652396
238.5	2.459531091
238.75	2.573394495
239	2.696534149
239.25	2.829153925
239.5	2.94617737
239.75	3.066258919
240	3.155657492
240.25	3.242813456
240.5	3.29459735
240.75	3.29775739
241	3.273394495
241.25	3.191029562
241.5	3.081141692
241.75	2.949235474
242	2.798572885
242.25	2.636901121
242.5	2.503465851
242.75	2.41243629
243	2.339449541
243.25	2.282976555
243.5	2.253924567
243.75	2.246075433
244	2.25861366
244.25	2.296330275
244.5	2.344954128
244.75	2.417940877
245	2.523139653
245.25	2.651070336
245.5	2.775840979
245.75	2.888073394
246	2.955555556
246.25	3.004994903
246.5	3.017533129
246.75	2.99011213
247	2.928134557
247.25	2.851987768
247.5	2.784505607
247.75	2.70285423
248	2.641590214
248.25	2.582772681
248.5	2.541182467
248.75	2.506625892
249	2.480733945
249.25	2.46432212
249.5	2.468195719
249.75	2.506625892
250	2.565545362
250.25	2.667584098
250.5	2.757798165
250.75	2.871559633
251	2.944546381
251.25	2.99011213
251.5	2.991641182
251.75	2.961060143
252	2.883384302
252.25	2.772680938
252.5	2.63853211
252.75	2.508256881
253	2.389704383
253.25	2.297859327
253.5	2.239041794
253.75	2.22803262
254	2.253924567
254.25	2.331600408
254.5	2.446992864
254.75	2.592966361
255	2.717737003
255.25	2.819775739
255.5	2.895922528
255.75	2.939857288
256	2.962589195
256.25	2.94617737
256.5	2.913965341
256.75	2.86687054
257	2.798572885
257.25	2.714576962
257.5	2.622018349
257.75	2.53567788
258	2.472884811
258.25	2.419571865
258.5	2.377166157
258.75	2.352803262
259	2.337920489
259.25	2.336391437
259.5	2.342609582
259.75	2.375637105
260	2.446992864
260.25	2.537308869
260.5	2.615698267
260.75	2.709174312
261	2.779001019
261.25	2.832313965
261.5	2.870030581
261.75	2.889602446
262	2.895922528
262.25	2.881753313
262.5	2.860550459
262.75	2.830784913
263	2.806422018
263.25	2.766462793
263.5	2.706014271
263.75	2.636901121
264	2.574923547
264.25	2.519979613
264.5	2.483893986
264.75	2.471355759
265	2.471355759
265.25	2.495616718
265.5	2.524668705
265.75	2.547502548
266	2.584301733
266.25	2.610295617
266.5	2.63853211
266.75	2.672273191
267	2.71304791
267.25	2.769520897
267.5	2.824464832
267.75	2.876248726
268	2.923343527
268.25	2.955555556
268.5	2.978287462
268.75	2.985423038
269	2.994801223
269.25	2.999490316
269.5	2.997961264
269.75	2.996330275
270	2.97675841
270.25	2.936697248
270.5	2.870030581
270.75	2.775840979
271	2.654230377
271.25	2.519979613
271.5	2.378695209
271.75	2.237512742
272	2.121304791
272.25	2.038124363
272.5	1.95412844
272.75	1.919571865
273	1.895310907
273.25	1.924362895
273.5	2.001223242
273.75	2.121304791
274	2.282976555
274.25	2.482364934
274.5	2.714576962
274.75	2.931192661
275	3.129765545
275.25	3.283588175
275.5	3.372273191
275.75	3.390316004
276	3.355045872
276.25	3.25922528
276.5	3.128236493
276.75	2.957900102
277	2.760142712
277.25	2.599286442
277.5	2.498776758
277.75	2.427420999
278	2.366972477
278.25	2.339449541
278.5	2.330071356
278.75	2.27196738
279	2.200611621
279.25	2.088379205
279.5	2.00285423
279.75	1.918042813
280	1.86941896
280.25	1.848216106
280.5	1.890621814
280.75	1.976860347
281	2.14332314
281.25	2.369317023
281.5	2.615698267
281.75	2.850356779
282	3.034046891
282.25	3.171355759
282.5	3.216921509
282.75	3.241182467
283	3.212232416
283.25	3.139245668
283.5	3.009683996
283.75	2.877879715
284	2.745259939
284.25	2.618858308
284.5	2.526299694
284.75	2.453312946
285	2.410907238
285.25	2.401529052
285.5	2.389704383
285.75	2.399898063
286	2.417940877
286.25	2.465035678
286.5	2.527828746
286.75	2.59459735
287	2.65891947
287.25	2.69969419
287.5	2.71304791
287.75	2.70988787
288	2.690316004
288.25	2.65891947
288.5	2.631396534
288.75	2.59459735
289	2.568603466
289.25	2.5490316
289.5	2.538022426
289.75	2.532517839
290	2.538022426
290.25	2.54587156
290.5	2.584301733
290.75	2.631396534
291	2.690316004
291.25	2.738939857
291.5	2.777370031
291.75	2.813557594
292	2.826095821
292.25	2.82293578
292.5	2.793883792
292.75	2.757798165
293	2.717737003
293.25	2.667584098
293.5	2.62833843
293.75	2.592966361
294	2.576452599
294.25	2.571763507
294.5	2.568603466
294.75	2.573394495
295	2.59459735
295.25	2.607135576
295.5	2.633027523
295.75	2.664424057
296	2.698165138
296.25	2.751478084
296.5	2.798572885
296.75	2.837818552
297	2.85351682
297.25	2.842507645
297.5	2.818246687
297.75	2.766462793
298	2.693476045
298.25	2.614169215
298.5	2.539653415
298.75	2.497247706
299	2.469724771
299.25	2.487054027
299.5	2.526299694
299.75	2.578083588
300	2.614169215
300.25	2.651070336
300.5	2.66911315
300.75	2.667584098
301	2.65891947
301.25	2.644750255
301.5	2.622018349
301.75	2.623547401
302	2.655759429
302.25	2.69969419
302.5	2.738939857
302.75	2.763302752
303	2.79235474
303.25	2.804892966
303.5	2.811926606
303.75	2.827624873
304	2.844138634
304.25	2.865341488
304.5	2.879408767
304.75	2.879408767
305	2.879408767
305.25	2.840978593
305.5	2.784505607
305.75	2.730275229
306	2.652599388
306.25	2.584301733
306.5	2.524668705
306.75	2.469724771
307	2.427420999
307.25	2.38185525
307.5	2.359123344
307.75	2.366972477
308	2.401529052
308.25	2.468195719
308.5	2.570234455
308.75	2.693476045
